date,name,age,comments
2006-2-3,"Frank Goodman,",89,"Broadway press agent. [26], congestive heart failure."
2006-2-3,"Lou Jones,",74,American Olympic runner. [27]
2006-2-3,"Sonny King,",83,"American comedian-singer, Jimmy Durante's sidekick, cancer. [28]"
2006-2-3,"Duma Kumalo,",48,"one of the Sharpeville Six, human rights activist, film-maker and founding member of the Khulumani Support Group for victims of apartheid-related violence. [29]"
2006-2-3,"Al Lewis,",82,"American actor (Grandpa Munster on The Munsters), Green Party political candidate, restaurateur, and radio host. [30]"
2006-2-3,"Romano Mussolini,",78,"Italian jazz musician and painter, son of Benito Mussolini. [31]"
2006-2-3,"Denne Petitclerc,",76,"American journalist, screenwriter, and friend of Ernest Hemingway. [32]"
2006-2-3,"Johnny Vaught,",96,NCAA championship-winning University of Mississippi football coach. [33]
2006-2-4,"George T. Davis,",98,American criminal defense lawyer [34]
2006-2-4,"Friedrich Engel,",97,"German, former Nazi SS officer. [35]"
2006-2-4,"Betty Friedan,",85,"American feminist and writer, congestive heart failure. [36][37]"
2006-2-4,"William Augustus Jones Jr.,",71,American Civil Rights pioneer. [38]
2006-2-4,"Barbara W. Leyden,",56,American palynologist and paleoecologist.
2006-2-4,"Joe McGuff,",79,"American sportswriter and newspaper editor, amyotrophic lateral sclerosis (Lou Gehrig's Disease). [39]"
2006-2-4,"Elena Carter Richardson,",55,"Mexico-born principal dancer and teacher, cancer."
2006-2-4,"Myron Waldman,",97,"American animator for Betty Boop and Superman cartoons, congestive heart failure. [40]"
2006-2-5,"Roland S. Boreham Jr.,",81,"American businessman, former CEO of Baldor Electric Co. [41]"
2006-2-5,"Norma Candal,",75,"Puerto Rican comedian, actress and drama teacher, head injury. [42]"
2006-2-5,"Franklin Cover,",77,"American TV and movie actor, pneumonia. [43]"
2006-2-5,"Reuven Frank,",85,"American TV journalism pioneer and former NBC News president, complications from pneumonia. [44]"
2006-2-5,"Peter Philp,",85,British dramatist and antiques expert.
2006-2-5,"Jack Taylor,",60,"one of the heaviest men in Britain, heart attack. [45]"
2006-2-5,"Carl Vogel,",84,German art collector.
2006-2-6,"John Brightman, Baron Brightman,",94,UK lawyer and former Lord of Appeal.
2006-2-6,"Mario Condello,",53,Australian lawyer and gangland criminal.
2006-2-6,"Pedro Gonzalez-Gonzalez,",80,"American comedian and actor, cancer. [46]"
2006-2-6,"Stella Ross-Craig,",99,one of the most prodigious of British flora illustrators. [47]
2006-2-6,"Esther Sandoval,",78,Puerto Rican actress. [48]
2006-2-6,"Karin Struck,",58,"German writer, cancer."
2006-2-6,"Kouji Totani,",57,"Japanese voice actor, heart failure."
2006-2-7,"Glenn Lee Benner II,",43,"American convicted murderer, executed by lethal injection. [49]"
2006-2-7,"George Millay,",76,"American businessman and founder of SeaWorld, lung cancer. [50]"
2006-2-7,"Max Rosenn,",96,American judge on the U.S. Court of Appeals for the Third Circuit (1970–2006). [51]
2006-2-7,"Mitchell Rupe,",51,"American convicted murderer ruled too heavy to be hanged, liver disease. [52]"
2006-2-7,"Alan Shalleck,",76,"American TV writer, director (Curious George animated films), murdered. [53]"
2006-2-8,"Larry Black,",54,"American track and field medalist at 1972 Summer Olympics, aneurysm. [54]"
2006-2-8,"Elton Dean,",60,"English jazz saxophonist, heart and liver related problems. [55]"
2006-2-8,"Michael Gilbert,",93,British mystery author and lawyer. [56]
2006-2-8,"Ron Greenwood,",84,"British football manager, England national team, West Ham United. [57]"
2006-2-8,"Akira Ifukube,",91,"Japanese film composer, best known for Godzilla film series. [58]"
2006-2-8,"Mart Kenney,",95,"""Canada's Big Band King,"" bandleader/musician, complications from a fall.[59]"
2006-2-8,"Gigi Parrish,",92,"later known as Katherine Weld, American actress. [60]"
2006-2-8,"Kuljeet Randhawa,",30,"Indian television actress, suicide. [61]"
2006-2-9,"Phil Brown,",89,"American actor, best known for playing ""Uncle Owen"" Lars in Star Wars. [62]"
2006-2-9,"Ibolya Csák,",91,"Hungarian athlete, 1936 Olympic gold medalist in women's high jump. [63]"
2006-2-9,"Gilles Kahn,",59,French computer scientist. [64] (French)
2006-2-9,"Sir Freddie Laker,",83,"British entrepreneur, founder of Laker Airways. [65]"
2006-2-10,"John Belluso,",36,"American playwright, Engleman-Camurdrie syndrome. [68]"
2006-2-10,"Jill Fraser,",59,"British theatre director, cancer. [69]"
2006-2-10,"Dick Harmon,",58,American golfer and golf instructor. [70]
2006-2-10,"John Prentice,",79,Scottish football player and manager. [71]
2006-2-10,"Norman Shumway,",83,"American surgeon performed first U.S. heart transplant, lung cancer. [72]"
2006-2-10,"Peter Smith,",65,"British trade union leader, oesophageal cancer."
2006-2-10,"Juan Soriano,",85,Mexican painter and sculptor. [73]
2006-2-10,"James Yancey, aka J Dilla,",32,"American hip hop record producer and MC, lupus nephritis. [75]"
2006-2-11,"Peter Benchley,",65,"American author best known for Jaws, pulmonary fibrosis. [76]"
2006-2-11,"Peggy Cripps Appiah,",84,British-Ghanaian children's author. [77]
2006-2-11,"Ken Fletcher,",65,"Australian tennis player, cancer. [78]"
2006-2-11,"Jackie ""Mr. TV"" Pallo,",79,"British professional wrestler, cancer. [79]"
2006-2-11,"Harry Schein,",81,"Austrian-born founder of Swedish Film Institute, author and columnist. [80]"
2006-2-11,"Jockey Shabalala,",62,South African singer with Ladysmith Black Mambazo. [81]
2006-2-11,"Thomas A. Spragens,",88,"figure in American higher education, former President of Centre College. [82]"
2006-2-11,"Harry Vines,",67,American wheelchair basketball coach. [83]
2006-2-12,"Henri Guédon,",61,French percussionist. [84]
2006-2-12,"Geordie Hormel,",77,"American musician and studio owner, heir to the Hormel Foods fortune. [85]"
2006-2-12,"Juan Sánchez-Navarro y Peón,",92,Mexican entrepreneur and co-founder of National Action Party.
2006-2-12,"Ken Hart,",88,"American composer, playwright, US veteran, lobbyist, journalist, World War II[86]"
2006-2-13,"John Brooke-Little,",78,English author and officer of arms. [87]
2006-2-13,"Andreas Katsulas,",59,"American actor, lung cancer. [89]"
2006-2-13,"Alan M. Levin,",79,American documentary filmmaker. [90]
2006-2-13,"Edna Lewis,",89,American author of cookbooks on Southern U.S. cuisine. [91]
2006-2-13,"Altynbek Sarsenbayev,",43,"former Kazakhstan cabinet minister, assassinated. [92]"
2006-2-13,"Sir Peter Strawson,",86,British philosopher. [93]
2006-2-13,"Joseph Ujlaki,",76,Hungarian-born French football player. [94]
2006-2-13,"Wang Xuan,",70,Chinese academic and IT expert. [95]
2006-2-13,"Bettie Wilson,",115,"American supercentenarian who was Mississippi's oldest person, complications from congestive heart failure. [96]"
2006-2-14,"Rabbi Yehuda Chitrik,",106,Lubavitch storyteller. [97]
2006-2-14,"Darry Cowl,",80,"French actor and pianist, lung cancer. [98]"
2006-2-14,"Shoshana Damari,",83,"""Queen of Israeli song,"" pneumonia. [99]"
2006-2-14,"Joel Dorius,",87,"American professor of literature, bone marrow cancer. [100]"
2006-2-14,"Michael G. Fitzgerald,",55,American film historian and author. [101]
2006-2-14,"Lynden David Hall,",31,"British soul singer, Hodgkin's lymphoma. [102]"
2006-2-14,"Benjamin Matthews,",72,"American bass-baritone opera singer, co-founder of Opera Ebony. [103]"
2006-2-14,"Tage Møller,",91,Danish Olympic cyclist. [104]
2006-2-14,"Don Paarlberg,",94,American agricultural economics adviser to three U.S. Presidents. [105]
2006-2-14,"Robert Taylor Sr.,",89,"American businessman, miniature golf pioneer. [106]"
2006-2-14,"Putte Wickman,",81,"Swedish jazz orchestra leader and clarinetist, cancer. [107]"
2006-2-15,"Barbara Guest,",85,American poet of the New York School [108]
2006-2-15,"Anna Marly,",88,"Russian-born songwriter, France's ""Troubadour of the Resistance."" [109]"
2006-2-15,"Andrei Petrov,",75,Russian composer. [110]
2006-2-15,"Robert E. Rich, Sr.,",92,"American businessman, creator of first nondairy whipped topping. [111]"
2006-2-15,"Sun Yun-suan,",93,"former Premier of Republic of China, heart attack. [112]"
2006-2-15,"Josip Vrhovec,",79,former foreign minister of Yugoslavia.
2006-2-16,"Paul Avrich,",74,"American professor and historian of anarchism, Alzheimer's disease. [113]"
2006-2-16,"Benno Besson,",83,Swiss stage director. [114]
2006-2-16,"Johnny Grunge,",39,"American pro wrestler, sleep apnea complications. [115]"
2006-2-16,"Sid Feller,",89,"American music arranger, conductor and record producer. [116]"
2006-2-16,"Susie Gibson,",115,"American supercentenarian who was Alabama's oldest person, heart failure. [117]"
2006-2-16,"Dennis Kirkland,",63,"British television producer and director, after a short illness. [118]"
2006-2-16,"Ernie Stautner,",80,"Bavarian-born American football player (Pittsburgh Steelers) and member of the Pro Football Hall of Fame, Alzheimer's disease. [119]"
2006-2-17,"Ray Barretto,",76,"American-born Latin jazz percussionist and bandleader, heart failure. [120]"
2006-2-17,"Sybille Bedford,",94,German-born British novelist and memoirist. [121]
2006-2-17,"Paul Carr,",72,"American TV and movie actor, lung cancer. [122]"
2006-2-17,"Bill Cowsill,",58,"American singer, lead of The Cowsills, emphysema and other ailments. [123]"
2006-2-17,"Harold Hunter,",31,"American pro skateboarder, in movie Kids, suspected drug overdose. [124]"
2006-2-17,"Bob Lewis,",81,"American race horse owner, congestive heart failure. [125]"
2006-2-17,"Jorge Pinto Mendonça,",51,"Brazilian football player, heart attack. [126]"
2006-2-17,"Yevgeny Samoilov,",94,Russian actor [127]
2006-2-18,"Richard Bright,",68,"American movie and television actor, pedestrian accident. [128]"
2006-2-18,"Bill Hartley,",75,Australian political activist and trade unionist. [129]
2006-2-18,"Laurel Hester,",49,"American gay rights activist, lung cancer. [130]"
2006-2-18,"Charles Leonard,",92,American US Army Major General and Olympic sharpshooter [131]
2006-2-18,"Tom Sellers,",83,"American newspaper reporter and 1955 Pulitzer Prize winner, heart attack. [132]"
2006-2-18,"Ruth Taylor,",44,"Canadian poet, alcohol poisoning. [133]"
2006-2-18,"Saulius Mykolaitis,",40,"Lithuanian director, actor, and singer-songwriter."
2006-2-19,"Angelo Brignole,",81,Italian cyclist. [134]
2006-2-19,"Ken Keuffel,",82,"American college football coach, prostate cancer. [135]"
2006-2-19,"Erna Lazarus,",102,American screenwriter. [136]
2006-2-19,"Edward H. McNamara,",79,American county official. [137]
2006-2-20,"Lou Gish,",35,"British stage, film and television actress, cancer. [138]"
2006-2-20,"Curt Gowdy,",86,"American sports broadcaster, leukemia. [139][140][141]"
2006-2-20,"Paul Marcinkus,",84,"American Catholic archbishop, President of Vatican Bank and Pro-President of Vatican City State. [142]"
2006-2-20,"Lucjan Wolanowski,",86,"Polish journalist, writer and traveller. [143]"
2006-2-21,"Gennadiy Aygi,",71,Russian author and poet who wrote in the Chuvash language. [144]
2006-2-21,"Theodore Draper,",93,American historian and political commentator. [145]
2006-2-21,"Mirko Marjanovic,",68,"Serbian politician, Prime Minister of Serbia (1994–2000). [146]"
2006-2-21,"Angelica Rozeanu,",84,"Romanian-born table tennis world champion, cirrhosis. [147]"
2006-2-21,"Stefan Terlezki,",78,British Conservative Member of Parliament 1983-1987.[148]
2006-2-22,"Atwar Bahjat,",30,"Iraqi journalist for al-Arabiya, abducted and killed in Iraq. [149][150]"
2006-2-22,"Anthony Burger,",44,"American gospel music pianist, collapsed during performance. [151]"
2006-2-22,"Hilde Domin,",96,German poet and writer. [152]
2006-2-22,"Donelson Hoopes,",73,American curator [153]
2006-2-22,"Edward Nalbandian,",78,"owner of Zachary All Clothing in Los Angeles, Alzheimer's disease. [154]"
2006-2-22,"Flossie Page,",112,"American supercentenarian, oldest person from Kansas. [155]"
2006-2-22,"Sinnathamby Rajaratnam,",90,"former Second Deputy Prime Minister of Singapore, heart failure. [156]"
2006-2-22,"John Sullivan,",61,English cricketer. [157]
2006-2-22,"Bill Tung,",72,"Hong Kong actor, horse racing commentator. [158]"
2006-2-22,"Richard Wawro,",52,"autistic savant internationally recognized artist, cancer. [159]"
2006-2-23,"Giuseppe Amici,",67,former Captain Regent of San Marino
2006-2-23,"Frederick Busch,",64,"American author, heart attack. [160]"
2006-2-23,"Said Mohamed Djohar,",87,former President of Comoros. [161][162]
2006-2-23,"Luna Leopold,",90,American ecologist and author [163]
2006-2-23,"Machteld Mellink,",88,Netherlands-born American archaeologist of sites in Anatolia [164]
2006-2-23,"Diane Shalet,",71,American actress and author [165]
2006-2-23,"Reverend Earl Stallings,",89,Baptist pastor praised by Martin Luther King in the Letter from Birmingham Jail [166]
2006-2-23,"Telmo Zarraonaindía,",85,"Spanish football player, heart attack. [167][168]"
2006-2-24,"Octavia Butler,",58,"science fiction author and MacArthur Foundation Fellow, head injury. [169]"
2006-2-24,"Harold Faragher,",88,English cricketer. [170]
2006-2-24,"Don Knotts,",81,"American actor (The Andy Griffith Show, Three's Company), complications from aspiration pneumonia and lung cancer. [171]"
2006-2-24,"John Martin,",58,"Canadian broadcaster, throat cancer. [172]"
2006-2-24,"Andrew Sherratt,",59,"British archaeologist at the University of Sheffield, heart failure. [173]"
2006-2-24,"Denis Twitchett,",80,"Gordon Wu Professor of Chinese Studies, Princeton University (1980–1994), creator of the 15 volume The Cambridge History of China, poor health. [174]"
2006-2-24,"Dennis Weaver,",81,"American actor (Gunsmoke, McCloud), complications from cancer. [175]"
2006-2-25,"Robin Coombs,",84,"British immunologist, developed Coombs Antibody test[176]"
2006-2-25,"Kenneth Deane,",45,"Canadian police officer convicted in Ipperwash shooting, automobile accident. [177]"
2006-2-25,"Thomas Koppel,",61,Danish musician and composer from the band Savage Rose. [178]
2006-2-25,"Darren McGavin,",83,"American actor (Kolchak: The Night Stalker, A Christmas Story), natural causes. [179]"
2006-2-25,"Henry M. Morris,",87,"American young earth creationist leader, complications of stroke. [180]"
2006-2-25,"Tsegaye Gabre-Medhin,",69,"Poet Laureate of Ethiopia, kidney disease. [181]"
2006-2-25,"Imette St. Guillen,",24,"Hispanic John Jay College of Criminal Justice student, murdered."
2006-2-25,"Charlie Wayman,",83,"English footballer, during the 1940s and 1950s, following a long illness [182]"
2006-2-26,"Georgina Battiscombe,",100,British author & biographer [183]
2006-2-26,"Bill Cardoso,",68,"American writer and editor, coined the term ""gonzo"", heart failure. [184]"
2006-2-26,"Noel Diprose,",83,Australian cricketer. [185]
2006-2-26,"Sir Hans Singer,",95,"German-born British economist, helped create the World Food Program and the United Nations Development Program. [186]"
2006-2-27,"Alice Baker,",107,"last surviving British woman to serve in the First World War, member of the Royal Flying Corps [187]"
2006-2-27,"Ferenc Bene,",61,"Hungarian football player, fall. [188]"
2006-2-27,"Otis Chandler,",78,"former publisher of the Los Angeles Times, Lewy body disease.[189]"
2006-2-27,"Fahd Faraj al-Juwair,",36,"Saudi Arabian alleged head of al-Qaeda in the Arabian peninsula, killed in foiled bombing attempt. [190]"
2006-2-27,"Milton Katims,",96,long-time conductor and leader of the Seattle Symphony. [191]
2006-2-27,"Tsakani Mhinga,",27,"South African R&B singer, drug overdose. [192]"
2006-2-27,"William Musto,",88,"former mayor of Union City, New Jersey, convicted of racketeering [193]"
2006-2-27,"Robert Lee Scott, Jr.,",97,"retired United States Air Force brigadier general and fighter ace, author (God is My Co-Pilot). [194]"
2006-2-27,"Linda Smith,",48,"British comedian, ovarian cancer. [195]"
2006-10-1,"Frank Beyer,",74,German film director (Jacob the Liar). [1]
2006-10-1,"Sir Laurence Brodie-Hall,",96,Australian mining executive. [2]
2006-10-1,"Alan Caillou,",91,British actor and writer. [3]
2006-10-1,"Pierre Gorman,",82,Australian librarian and academic. [4]
2006-10-1,"Jack Kirkbride,",83,"British cartoonist, father of actress Anne Kirkbride. [5]"
2006-10-1,"Rafael Quintero,",66,Cuban-born American CIA agent. [6]
2006-10-1,"Yoshihiro Yonezawa,",53,"Japanese manga critic, lung cancer. [8]"
2006-10-2,"Marta Fernandez Miranda de Batista,",82,"Cuban First Lady (1952–1959), second wife of President Fulgencio Batista. [9]"
2006-10-2,"Frances Bergen,",84,"American actress, wife of ventriloquist Edgar Bergen and mother of actress Candice Bergen. [10]"
2006-10-2,"Helen Chenoweth-Hage,",68,"American Republican Representative for Idaho (1995–2001), car accident. [11]"
2006-10-2,"Bhaktisvarupa Damodar Swami,",69,"Indian scientist, spiritual teacher and poet, heart attack. [12]"
2006-10-2,"Tamara Dobson,",59,"American actress (Cleopatra Jones), complications from pneumonia and multiple sclerosis. [13]"
2006-10-2,"Paul Halmos,",90,Hungarian-born American mathematician. [14]
2006-10-2,"Paul Richardson,",74,"American Phillies longtime organist, prostate cancer. [15]"
2006-10-2,"Clyde Vollmer,",85,American Major League Baseball player (Cincinnati Reds). [16]
2006-10-3,"Lucilla Andrews,",86,British romantic novelist. [17]
2006-10-3,"Sir John Cox,",77,British admiral who was Commander-in-Chief in the South Atlantic [18]
2006-10-3,"John Crank,",90,British mathematical physicist who helped solve the heat equation. [19]
2006-10-3,"Gwen Meredith,",98,"Australian writer of all 5795 episodes of the long-running radio serial Blue Hills, after heart trouble. [20]"
2006-10-3,"Peter Norman,",64,"Australian athlete, silver medalist at the 1968 Summer Olympics, heart attack. [21]"
2006-10-4,"Tom Bell,",73,"British actor (Wish You Were Here, Prime Suspect), after short illness. [23]"
2006-10-4,"Norbert Franck,",88,Luxembourgian Olympic swimmer. [25]
2006-10-4,"Walter Gibb,",87,British aviator and test pilot who held the world altitude record. [26]
2006-10-4,"Ralph Griswold,",72,"American creator of Snobol and Icon programming languages, cancer. [27]"
2006-10-4,"Vic Heyliger,",87,American ice hockey Hall of Fame player and coach. [28]
2006-10-4,"Oskar Pastior,",78,Romanian-born German writer. [29]
2006-10-4,"Riccardo Pazzaglia,",80,"Italian actor, writer and film director. [30] (Italian)"
2006-10-4,"Don Thompson,",73,"British race walker and 1960 Olympic gold medal winner, aneurysm. [31]"
2006-10-4,"Katarina Tomasevski,",53,Croatian-born former United Nations Special Rapporteur on the Right to Education. [32]
2006-10-5,"Valerie Campbell-Harding,",74,"Canadian textile art designer, heart attack. [33]."
2006-10-5,"Friedrich Karl Flick,",79,German-Austrian billionaire industrialist. [34]
2006-10-5,"George King,",78,American college basketball coach. [35]
2006-10-5,"Speedy O. Long,",78,"American Democratic Representative for Louisiana (1964–1972), cousin of Huey Long. [36]"
2006-10-5,"Jennifer Moss,",61,"British actress, played Lucille Hewitt on Coronation Street. [37]"
2006-10-5,"Antonio Peña,",53,"Mexican promoter of Asistencia Asesoría y Administración, heart attack. [38]"
2006-10-5,"Jackie Rae,",84,"Canadian singer, songwriter and entertainer. [39]"
2006-10-5,"Dick Wagner,",78,"American former president of the Cincinnati Reds and Houston Astros, injuries from a 1999 car crash. [40]"
2006-10-5,"Gilbert F. White,",94,American geographer. [41]
2006-10-6,"Bertha Brouwer,",75,"Dutch athlete, silver medalist in the 200m at the 1952 Olympics. [42] (Dutch)"
2006-10-6,"Charles Clark,",73,British publisher and lawyer. [43]
2006-10-6,"Claude Luter,",83,French jazz clarinetist and bandleader. [44]
2006-10-6,"Eduardo Mignogna,",66,Argentinian film director. [45] (Spanish)
2006-10-6,"Buck O'Neil,",94,"American baseball player and manager in the Negro leagues, heart failure and bone marrow cancer. [46]"
2006-10-6,"Timo Sarpaneva,",79,Finnish glassmaker. [47]
2006-10-6,"Heinz Sielmann,",89,German zoologist [48]
2006-10-6,"Wilson Tucker,",91,American science fiction writer. [49]
2006-10-7,"Charlie Bradberry,",24,"American NASCAR driver, car accident. [50]"
2006-10-7,"Danifel Campilan,",25,"Filipino news reporter (24 Oras), car accident. [51]"
2006-10-7,"Polly Craus,",83,American Olympic fencer. [52]
2006-10-7,"Craig Dobbin,",71,"Canadian founder of CHC Helicopter, after illness following lung transplant. [53]"
2006-10-7,"Julen Goikoetxea,",21,"Spanish bicycle racer, suicide by jumping. [54]"
2006-10-7,"Anna Politkovskaya,",48,"Russian journalist, shot. [55]"
2006-10-7,"Peter H. Rossi,",84,American sociologist. [56]
2006-10-8,"Ira B. Harkey Jr.,",88,"American newspaper editor, winner of the 1963 Pulitzer Prize for Editorial Writing. [57]"
2006-10-8,"Pavol Hnilica,",85,Slovak Catholic bishop. [58] (Slovak)
2006-10-8,"Ivan Murrell,",63,American Major League Baseball player for the Astros and Padres. [59]
2006-10-8,"Mark Porter,",31,"New Zealand racing driver, race crash. [60]"
2006-10-9,"Sedat Alp,",93,Turkish archaeologist specializing in Hittitology. [61] (Turkish)
2006-10-9,"Reg Freeson,",80,"British politician, Minister of State for Housing and Local Government (1974–1979). [63]"
2006-10-9,"Marek Grechuta,",60,"Polish singer, composer and lyricist. [64] (Polish)"
2006-10-9,"Paul Hunter,",27,"British snooker player, neuroendocrine tumours. [66]"
2006-10-9,"Mario Moya Palencia,",73,"Mexican politician and diplomat (Interior Minister, 1969–1976), heart attack. [67]"
2006-10-9,"Glenn Myernick,",51,"American assistant soccer coach of the men's national team, heart attack. [68]"
2006-10-9,"Raymond Noorda,",82,"American computer executive, CEO of Novell (1982–1994). [69]"
2006-10-9,"Kanshi Ram,",72,"Indian politician, heart attack. [70]"
2006-10-10,"Jerry Belson,",68,"American Emmy-winning television comedy writer (Tracey Ullman, Dick Van Dyke), prostate cancer. [71]"
2006-10-10,"Francis Berry,",91,British poet and literary critic. [72]
2006-10-10,"Sir Derek Pattinson,",76,British Secretary-General of the General Synod of the Church of England (1972–1990) [74]
2006-10-10,"Michael John Rogers,",74,British ornithologist.[75]
2006-10-10,"Ian Scott,",72,Canadian Attorney General of Ontario (1985–1990). [76]
2006-10-10,"Lalit Suri,",59,"Indian hotelier and parliamentarian, heart attack. [77]"
2006-10-11,"Sir Victor Goodhew,",86,"British politician, Conservative MP for St Albans (1959–1983). [78]"
2006-10-11,"Cory Lidle,",34,"American baseball pitcher (New York Yankees), victim of the 2006 New York City plane crash. [79]"
2006-10-11,"Sir Robert Megarry,",96,British judge and Vice-Chancellor of the Supreme Court (1982–1985). [81]
2006-10-11,"Eddie Pellagrini,",88,American baseball player and coach (Boston College). [82]
2006-10-11,"Jimmy Peters, Sr.,",84,"Canadian ice hockey player, Stanley Cup winner (Montreal Canadiens, Detroit Red Wings). [83]"
2006-10-11,"Jacques Sternberg,",83,"French science fiction and fantastique author, lung cancer. [85]"
2006-10-11,"John Turvey,",61,"Canadian youth activist and Order of Canada recipient, mitochondrial myopathy. [86]"
2006-10-12,"Todd Bolender,",92,"American dancer and choreographer, director of the Kansas City Ballet. [87]"
2006-10-12,"Johnny Callison,",67,"American Major League Baseball player, three-time All-Star outfielder with the Phillies. [88]"
2006-10-12,"Samuel B. Casey, Jr.,",78,American CEO of Pullman Company. [89]
2006-10-12,"Hermann Eilts,",84,German-born American diplomat and US ambassador to Saudi Arabia (1965–1970). [90]
2006-10-12,"Gerard Murphy,",57,Irish mathematician. [92]
2006-10-12,"Gillo Pontecorvo,",86,"Italian film director (The Battle of Algiers), heart failure. [93]"
2006-10-13,"Mason Andrews,",87,"American physician who delivered America's first test tube baby, Mayor of Norfolk, Virginia (1992–1994). [94]"
2006-10-13,"Deborah Blumer,",64,"American member of the Massachusetts General Court, heart attack. [95]"
2006-10-13,"Petra Cabot,",99,"American designer, created the Skotch Kooler, natural causes. [96]"
2006-10-13,"Bob Lassiter,",61,American talk radio personality. [97]
2006-10-13,"Dino Monduzzi,",84,"Italian cardinal, Prefect of the Pontifical Household (1986–1998). [98]"
2006-10-13,"Hilda Terry,",92,"American cartoonist, creator of comic strip Teena. [99]"
2006-10-13,"Wang Guangmei,",85,Chinese wife of late Communist leader Liu Shaoqi. [100]
2006-10-14,"Bernard Allen,",69,American member of the North Carolina General Assembly. [101]
2006-10-14,"James Barr,",82,British Old Testament scholar. [102]
2006-10-14,"Chun Wei Cheung,",34,"Dutch rowing cox, silver medallist at the 2004 Summer Olympics, liver cancer. [103]"
2006-10-14,"Freddy Fender,",69,"American singer (""Before the Next Teardrop Falls""), lung cancer. [104]"
2006-10-14,"Soni Pabla,",30,"Indian Punjabi singer, heart attack. [105]"
2006-10-14,"Klaas Runia,",80,Dutch Reformed Church theologian. [106]
2006-10-14,"Gerry Studds,",69,"American first openly gay congressman, represented Massachusetts (1973–1997), pulmonary embolism. [107]"
2006-10-15,"Derek Bond,",86,"British actor (Callan, Scott of the Antarctic). [108]"
2006-10-15,"William Bright,",78,"American linguist and author, recorder of indigenous North American languages. [109]"
2006-10-15,"Michael Forrester,",89,British army general. [110]
2006-10-15,"Robert Pfarr,",86,American Olympic cyclist. [111]
2006-10-15,"George Stevens,",74,American politician and Baptist minister. [112]
2006-10-15,"Michelle Urry,",66,Canadian cartoon editor for Playboy. [113]
2006-10-15,"Maurice F. Weisner,",88,American admiral. [114]
2006-10-16,"Niall Andrews,",69,"Irish politician, Fianna Fáil TD for Dublin South (1977–1987), MEP for Leinster (1984–2004), lung cancer. [115]"
2006-10-16,"Ross Davidson,",57,"British former EastEnders actor, brain tumour. [116]"
2006-10-16,"Sid Davis,",90,"American educational filmmaker, lung cancer. [117]"
2006-10-16,"Martin Flannery,",88,"British politician, Labour MP for Sheffield Hillsborough (1974–1992). [118]"
2006-10-16,"Harold Gardner,",107,"American World War I veteran, served one day prior to the armistice. [119]"
2006-10-16,"Tommy Johnson,",71,"American musician known for his work on the Jaws theme, complications of cancer and kidney failure. [120]"
2006-10-16,"John V. Murra,",90,Ukrainian-born American anthropologist and Inca scholar. [121]
2006-10-16,"Lister Sinclair,",85,"Canadian playwright and broadcaster, pulmonary embolism. [123]"
2006-10-16,"Ernie Steele,",88,American football player (Philadelphia Eagles). [124]
2006-10-16,"Trebisonda Valla,",90,"first Italian female 1936 Olympic champion (80m hurdles), natural causes. [125]"
2006-10-16,"Anatoly Voronin,",55,"Russian business chief of ITAR TASS news agency, stabbed. [126]"
2006-10-17,"Daniel Emilfork,",82,French actor (The City of Lost Children). [127]
