name,cause of death,born,died,comments
Michael Cimino (director/writer),,"February 3, 1939","July 2, 2016",Wrote and directed The Deer Hunter for which he won a Best Director Oscar....but then created Heaven's Gate  twitter  IMDb  Obituary  FindAGrave
Elie Wiesel (writer/activist/teacher),,"September 30, 1928","July 2, 2016","Survivor of Nazi concentration camps which murdered the rest of his family, wrote the classic Night which depicted his life under the Nazis, was an anti-genocide fighter who went on to win the Nobel Peace Prize.  Home Page  twitter  IBDB  IMDb  Obituary  FindAGrave"
Noel Neill (actress),,"November 25, 1920","July 3, 2016",Lois Lane in the '50s version of Superman.  twitter  IMDb  Obituary  FindAGrave
Garry Marshall (director/writer/actor),Stroke/pneumonia. ,"November 13, 1934","July 19, 2016","Brother of Penny Marshall - adapted The Odd Couple for TV, created Mork and Mindy, Happy Days and Laverne and Shirley directed many movies including Pretty Woman and the Princess Diaries movies.  twitter  IBDB  IMDb  Obituary"
Marni Nixon (singing voice),Breast cancer. ,"February 22, 1930","July 24, 2016","Her singing replaced the voices of Audrey Hepburn in My Fair Lady, Natalie Wood in West Side Story and Deborah Kerr in The King and I.  twitter  IBDB  IMDb  Obituary"
Jack Davis (cartoonist),Stroke. ,"December 2, 1924","July 27, 2016","Mostly drew for Mad magazine but his art appeared all over, including in posters for movies like It's a Mad, Mad, Mad, Mad World.  Home Page  twitter  IMDb  Obituary"
Jerry Doyle (actor/radio host),,"July 16, 1956","July 27, 2016","Garibaldi on Babylon 5, later became a radio host.  Home Page  twitter  IMDb  Obituary"
Gloria DeHaven (actress),,"July 23, 1925","July 30, 2016","Appeared in musicals like Best Foot Forward and Step Lively, later in Ryan's Hope and Out to Sea.  twitter  IBDB  IMDb  Obituary  FindAGrave"
Kenny Baker (actor),,"August 24, 1934","August 13, 2016","Made R2D2 run through six Star Wars movies, also appeared in Amadeus and The Elephant Man, was a professional ice skater and performed in comedy nights after the '90s.  Home Page  twitter  IMDb  Obituary"
Jack Riley (actor),Pneumonia. ,"December 30, 1935","August 19, 2016",Mr. Carlin on The Bob Newhart Show and voiced Stu Pickles on Rugrats; professional actor for over 50 years.  twitter  IMDb  Obituary
Steven Hill (actor),,"February 24, 1922","August 23, 2016","Co-starred as the DA in Law and Order during the '90s, helped the start the Actors' Studio in the '50s, starred in the first season of Mission Impossible, took a 12 year break from show business to focus on his Orthodox Judiaism.  IBDB  IMDb  Obituary"
Marvin Kaplan (actor),,"January 24, 1927","August 25, 2016","Busy TV actor maybe best-known for playing Henry in Alice, part of the It's a Mad, Mad, Mad, Mad World ensemble, co-wrote Lookin' Up, the last movie in which he appeared which was released post-humously.  Home Page  twitter  IMDb  Obituary  FindAGrave"
Gene Wilder (actor/writer),Complications of Alzheimer's Disease. ,"June 11, 1935","August 29, 2016","The original Leo Bloom in the mostly-non-musical version of The Producers, starred in and co-wrote the brilliant Young Frankenstein, co-starred with Richard Pryor in several movies including Stir Crazy, once married to Gilda Radner, Wilder survived lymphoma.  Home Page  twitter  IBDB  IMDb  Obituary  FindAGrave"
Hugh O'Brian (actor),,"April 19, 1925","September 5, 2016","Very busy TV actor in the '50s, '60s and '70s, starred as Wyatt Earp on TV.  Home Page  twitter  IBDB  IMDb  Obituary"
Edward Albee (playwright),,"March 12, 1928","September 16, 2016","Wrote Who's Afraid of Virginia Woolf, A Delicate Balance, Three Tall Women.  Home Page  twitter  IBDB  IMDb  Obituary"
W. P. Kinsella (writer/baseball fanatic),Doctor-assisted suicide. ,"May 15, 1935","September 17, 2016","His novel, Shoeless Joe was adapted into the classic movie Field of Dreams.  Home Page  twitter  IMDb  Obituary"
Charmian Carr (16 going on 17),Dementia. ,"December 27, 1942","September 17, 2016","Kind of a ""one-hit-wonder"" (as The Guardian observed just before her death), she played Liesl in the blockbuster movie The Sound of Music.  Home Page  twitter  IMDb"
Curtis Hanson (director),,"March 24, 1945","September 20, 2016","Directed LA Confidential (co-won an Oscar for adapting the work), The Wonder Boys and the documentary Too Big To Fail.  Home Page  twitter  IMDb  Obituary"
Bill Nunn (actor),,"October 20, 1953","September 24, 2016","College friend of Spike Lee's, later cast as Radio Raheem in Do The Right Thing, Robbie Robertson in the Tobey Maguire Spiderman movies.  twitter  IMDb  Obituary"
Arnold Palmer (golfer/pitchman),,"September 10, 1929","September 25, 2016","One of the great golfers of the mid-20th century, first person to earn a million dollars in a year from golf, went on to design golf courses, survived postate cancer.  Home Page  twitter  IMDb  Obituary"
Tammy Grimes (actress),,"January 30, 1934","October 30, 2016","Won Tonys for The Unsinkable Molly Brown and Private Lives, ex-wife of Christopher Plummer, mother of Amanda Plummer.  twitter  IBDB  IMDb  Obituary"
Don Marshall (actor/producer),,"May 2, 1936","October 30, 2016",Land of the Giants and lots of TV in the '60s and '70s; later a commercial and documentary producer.  twitter  IMDb  Obituary
Natalie Babbitt (writer),Lung cancer. ,"July 28, 1932","October 31, 2016",Newbury-award-winning author of Tuck Everlasting.  Home Page  twitter  IBDB  IMDb  Obituary
Janet Reno (Attorney General),,"July 21, 1938","November 7, 2016","First female US Attorney General, served longer than any Attorney General for 150 years, had Parkinson's for many years.  Home Page  twitter  IMDb  Obituary"
Leonard Cohen (writer/singer),,"September 21, 1934","November 7, 2016","Famous Canadian popular singer, wrote a frequently-recorded ""Hallelujah"" (even used at the end of the first Shrek), released his last album shortly before he died.  Home Page  twitter  IMDb  Obituary"
Robert Vaughn (actor),,"November 22, 1932","November 11, 2016","A Man from U.N.C.L.E., The Towering Inferno, earned a Ph.D. in Communication Philosophy in 1972 (his dissertation: ""Only Victims: A Study of Show Business Blacklisting""), had a professional acting career that lasted nearly 60 years.  twitter  IBDB  IMDb  Obituary"
Gwen Ifill (journalist),,September 29 1955,"November 14, 2016","A newspaper reporter who became a Today reporter and went on to be the first female African-American host of a national TV news show, Washington Week in Review.  twitter  IMDb  Obituary"
Florence Henderson (actress/singer),Heart failure. ,"February 14, 1934","November 24, 2016","Brady Bunch, Broadway star, was a ""Today Show girl"" in the early '60s, co-host of Later Today, very active on TV since the '70s, was in the audience of Dancing with the Stars three days before her death.  twitter  IMDb  Obituary"
Ron Glass (actor),Respiratory failure. ,"July 10, 1945","November 25, 2016","Barney Miller, Firefly, very busy TV actor on many other shows.  twitter  IBDB  IMDb  Obituary"
Fritz Weaver (actor),,"January 19, 1926","November 26, 2016","Tony-winning Broadway actor (Child's Play) who starred in the 1978 Holocaust, narrator for many History Channel documentaries.  twitter  IBDB  IMDb  Obituary"
Alice Drummond (actress),Complications of a fall. ,"May 21, 1928","November 30, 2016","Small but memorable roles in Ghostbusters (librarian), Awakenings (Lucy) and Nobody's Fool (Hattie).  twitter  IBDB  IMDb  Obituary  FindAGrave"
"John Glenn (senator, astronaut)",,"July 18, 1921","December 8, 2016","First American to have orbited the earth, decades later was the oldest person to have traveled in space, last surviving astronaut from the Mercury Seven, a great American.  Home Page  twitter  IMDb  Obituary"
Alan Thicke (actor/songwriter),Heart Attack. ,"March 1, 1947","December 13, 2016","Starred as the dad in Growing Pains, wrote many TV theme songs (The Facts of Life, Different Strokes)  Home Page  twitter  IBDB  IMDb  Obituary  FindAGrave"
Bernard Fox (actor),Heart failure. ,"May 11, 1927","December 14, 2016",Dr. Bombay in Bewitched and in two different movies on the Titanic.  twitter  IBDB  IMDb  Obituary
Henry Heimlich (Surgeon who developed an anti-choking maneuver),Heart atttack. ,"February 3, 1920","December 19, 2016",Developed the Heimlich maneuver in the early '70s which helped save many people from choking.  Home Page  twitter  IMDb  Obituary  FindAGrave
Zsa Zsa Gabor (actress?),Heart failure. ,"February 6, 1917","December 18, 2016","A former Miss Hungary, always played glamour girls, married many times but had was married to the same person from 1986 until her death, famously went to jail for 3 days in the late '80s for slapping a police officer, had been in poor health after a series of strokes. (She was so ill I thought she would die on 01-14-2011 and had even updated my database, but she lived almost another six years.)  twitter  IBDB  IMDb  Obituary  FindAGrave"
George Michael (singer/songwriter),,"June 25, 1963","December 25, 2016","Started as part of the teen duo Wham!, had solo hits such as ""Careless Whisper"" and ""Father Figure.""  Home Page  twitter  IMDb  Obituary"
Donna Douglas (actress),,"September 26, 1933","January 1, 2015","Eternally typecast as Elly Mae Clampett, later sang gospel music.  twitter  IMDb  Obituary"
Edward W. Brooke (lawyer/senator),,October 26 1919,"January 3, 2015","First post-Reconstruction black person elected to the Senate, Republican from Massachusetts.  Home Page  twitter  IMDb  Obituary"
Rod Taylor (actor),,"January 11, 1930","January 7, 2015","The Time Machine, The Birds.  Home Page  twitter  IMDb  Obituary"
Anita Ekberg (actress),,"September 29, 1931","January 11, 2015",La Dolce Vita.  twitter  IMDb  Obituary
Charles Townes (physicist),,"July 28, 1915","January 27, 2015","An inventor of the laser (with Arthur L. Schawlow), he won the Nobel Prize, and later a Templeton Prize.  Home Page  Obituary"
"Suzette Haden Elgin (writer, linguist, poet)",,"November 18, 1936","January 27, 2015","Wrote science fiction, poetry and the classic non-fiction work The Gentle Art of Verbal Self-Defense  Home Page  twitter  IMDb"
Colleen McCullough (writer),,"June 1, 1937","January 29, 2015","Author of the best-selling novel The Thorn Birds which went on to be a huge miniseries, also wrote Mary and Tim  Home Page  twitter  IMDb  Obituary"
Rod McKuen (poet/songwriter),Pneumonia. ,"April 29, 1933","January 29, 2015","Nominated for an Oscar for the song ""Jean,"" wrote many books of poetry.  Home Page  twitter  IMDb  Obituary"
Geraldine McEwan (actress),Stroke. ,"May 9, 1932","January 30, 2015","Miss Marple in the late 2000s, Alice in Henry V.  Home Page  twitter  IBDB  IMDb  Obituary"
Lizabeth Scott (actress),Congestive heart failure. ,"September 29, 1922","January 31, 2015","Star of film noir movies like Dead Reckoning, Pitfall and I Walk Alone.  twitter  IMDb  Obituary"
Anne Moody (writer/activist),Dementia ,"September 15, 1940","February 5, 2015","Fought for civil rights in the South, wrote The Coming of Age in Mississippi.  Home Page  twitter  Obituary"
Gary Owens (announcer),Diabetes. ,"May 10, 1936","February 12, 2015","Rowan and Martin's Laugh-In, many commercials and cartoons, inventor of the catchphrase ""Beautiful Downtown Burbank.""  twitter  IMDb  Obituary FindAGrave"
Louis Jourdan (actor),,"June 19, 1921","February 13, 2015","Gigi, Octopussy, read the Babar books for Caedmon recordings, part of the French resistance during World War II.  Home Page  twitter  IBDB  IMDb FindAGrave"
Lesley Gore (singer/songwriter),Cancer. ,"May 2, 1946","February 16, 2015","Her songs from the '60s include ""It's My Party"" and ""You Don't Own Me.""  Home Page  twitter  IBDB  IMDb  Obituary  FindAGrave"
Leonard Nimoy (director/actor/writer),Chronic obstructive pulmonary disease. ,"March 26, 1931","February 27, 2015","The first-ever Mr. Spock, he went on to write I Am Not Spock and I Am Spock he directed several Star Trek movies, 3 Men and a Baby and The Good Mother.  Home Page  twitter  IBDB  IMDb  Obituary"
Terry Pratchett (writer),Alzheimer's. ,"April 28, 1948","March 12, 2015","The creator of the Discworld universe, announced in late '07 that he has a version of Alzheimer's - posterior cortical atrophy. Make contributions to: Match It For Pratchett.  Dead People Server Photo Gallery  Home Page  twitter  IMDb  Obituary"
Sarah Brady (activist),Pneumonia. ,"February 6, 1942","April 3, 2015",Became a tireless advocate for hand gun control after her husband James was shot by Reagan's would-be assassin.  Home Page  IMDb  Obituary
Richard Dysart (actor),Cancer. ,"March 30, 1929","April 5, 2015","Leland in LA Law, Being There, starred as the Coach in the original Broadway production of That Championship Season. Make memorial donation to Will Geer's Theatricum Botanicum.  Home Page  twitter  IBDB  IMDb  Obituary"
James Best (actor),Pneumonia. ,"July 26, 1926","April 6, 2015",The Sheriff on The Dukes of Hazzard and hundreds of other TV roles.  Home Page  twitter  IMDb  Obituary
Stan Freberg (comic/cartoon voice/adman),,"August 7, 1926","April 7, 2015","Loads of cartoon characters, especially for Warner Brothers, won 21 Clio awards as a satiric advertising writer.  twitter  IMDb  Obituary"
GÃ¼nter Grass (writer),,"October 16, 1927","April 13, 2015","Tin Drum, Nobel Prize winner for literature for 1999.  Home Page  twitter  IMDb  Obituary"
Sawyer Sweeten (actor),Suicide. ,"May 12, 1995","April 24, 2015",Grew up on Everybody Loves Raymond as Geoffrey Barone.  twitter  IMDb  Obituary
Jayne Meadows (actress),,"September 27, 1919","April 26, 2015","Performed in many Broadway plays and on TV, married to Steve Allen for over 40 years.  Home Page  twitter  IBDB  IMDb  Obituary"
Andrew Lesnie (cinematographer),Heart attack. ,"January 1, 1956","April 27, 2015","Won an Oscar for cinemetography for Fellowship of the Ring, worked on all of Jackson's Tolkein movies, his last movie The Water Diviner, was released days before his death.  twitter  IMDb  Obituary"
Suzanne Crough (office manager/child actress),,"March 6, 1963","April 27, 2015","Played Tracy, the youngest daughter on The Partridge Family, retired from show business before she turned 20.  twitter  IMDb  Obituary"
Jean Nidetch (businesswoman/weight loss guru),,"October 12, 1923","April 28, 2015",A formerly overweight housewife who turned support-group weight loss into Weight Watchers.  Home Page  twitter  IMDb  Obituary
Ben E. King (singer/songwriter),,September 28 1938,"April 30, 2015","Sang and co-wrote one of the great songs of the 20th century, ""Stand by Me,"" a member of The Drifters.  twitter  IMDb  Obituary"
Nigel Terry (actor),Emphysema. ,"August 15, 1945","April 30, 2015",Mostly a theater actor but had major roles in at least two memorable movies - Prince John in The Lion in Winter and King Arthur in Exalibur.  twitter  IMDb  Obituary
Grace Lee Whitney (actress),,April 1 1930,"May 1, 2015",Yeoman Janice Rand on Star Trek.  Home Page  twitter  IMDb  Obituary
Elizabeth Wilson (actress),,"April 4, 1921","May 9, 2015","Mrs. Braddock in The Graduate, Roz in 9 to 5 and President Roosevelt's mother in Hyde Park on Hudson, many, many bit parts on TV and in the movies.  twitter  IBDB  IMDb  Obituary"
B. B. King (blues great/guitarist),,"September 16, 1925","May 14, 2015",Released a compilation album of duets with other famous singers in honor of his 80th birthday.  Home Page  twitter  IMDb  Obituary
Mary Ellen Trainor (actress),Pancreatic cancer. ,"July 8, 1950","June 8, 2015","Mom in The Goonies, the kidnapped sister in Romancing the Stone & the psychatrist in the Lethal Weapon movies, ex-wife of Robert Zemeckis. Make memorial contribution to Teddy Bear Cancer Foundation or The Wounded Warrior Project.  twitter  IMDb  Obituary"
John Nash (mathematician),Car crash on New Jersey Turnpike. ,"June 13, 1928","May 23, 2015","Game theorist who won the Nobel Prize for Economic Sciences in 1994; he also suffered from schizophrenia for many years, which served as the basis for A Beautiful Mind, died same day as Anne Meara.  Home Page  twitter  IMDb  Obituary"
Anne Meara (actress),,"September 20, 1929","May 23, 2015","Lots of TV since the fifties, won Emmy awards, appeared on Broadway, comic partner of husband Jerry Stiller (married for 61 years) and mother of Ben and Amy Stiller.  twitter  IBDB  IMDb  Obituary"
Tanith Lee (writer),Cancer. ,"September 19, 1947","May 24, 2015",Fantasy novel & short story writer. Wrote two episodes of Blakes 7.  Home Page  twitter  IMDb  Obituary
Betsy Palmer (actress),,"November 1, 1926","May 29, 2015","Theatrical actress, sometimes appeared in films (The Fear: Resurrection), probably best-known for I've Got a Secret  twitter  IBDB  IMDb  Obituary"
Kate Chappell (special effects artist),Lion attack. ,"December 19, 1985","June 1, 2015","Special effects artist for Game of Thrones and Divergent, killed while on a photo safari.  Home Page  twitter  IMDb  Obituary"
Margaret Juntwait (Radio announcer/singer),Ovarian cancer. ,"March 18, 1957","June 3, 2015",The voice of the Metropolitan Opera for 10 years.  Home Page  twitter  IMDb  Obituary
Vincent Bugliosi (DA/lawyer/writer),Cancer. ,"August 18, 1934","June 6, 2015","Prosecuted Charles Manson, co-wrote Helter Skelter on the murders.  twitter  IMDb  Obituary"
Ronnie Gilbert (singer/psychologist),,"September 7, 1926","June 6, 2015","A member of the influential and politically active folk group The Weavers (with Pete Seeger), she later became a psychologist.  Home Page  twitter  IMDb  Obituary"
Christopher Lee (actor),,"May 27, 1922","June 7, 2015","After a lifetime of little movies, he appeared in two of the biggest movies of 2002: Attack of the Clones and The Two Towers, and was unceremoniously edited out of one of the biggest movies of 2003, Return of the King. He said he was in more movies than any other actor - should we doubt Saruman's word? Acted professionally well into his 90s; his last movie will be released in 2016.  twitter  IMDb  Obituary"
Ron Moody (actor),,"January 8, 1924","June 11, 2015","Fagin in Oliver!, Eastenders, was once considered to play Doctor Who, but he turned it down.  twitter  IMDb  Obituary"
Rick Ducommun (comic/actor),Complications of diabetes. ,"July 3, 1952","June 12, 2015","The 'burbs, Groundhog Day and many other movies/TV shows in addition to many years of stand-up.  twitter  IMDb  Obituary"
